게임명,9월 달러 매출 추정(만),9월 원 매출 추정(억)
붕괴: 스타레일,632,85.7
원신,464,63
승리의 여신: 니케,410,55.6
젠레스 존 제로,361,49
에픽세븐,254,34.5
영웅전설 가가브 트릴로지,251,34.1
나 혼자만 레벨업: 어라이즈,229,31.1
트릭컬 리바이브,167,22.7
명조: 워더링 웨이브,145,19.8
페이트 그랜드 오더,132,17.9
명일방주,122,16.6
우마무스메 프리티 더비,117,15.9
림버스 컴퍼니,115,15.6
블루 아카이브,85.6,11.6
리버스: 1999,83.3,11.3
소드 오브 콘발라리아,78,10.5
신의 탑: 새로운 세계,59,8
로드 오브 히어로즈,53.6,7.27
브라운더스트 2,47.2,6.4
랑그릿사,44.6,6.06
프로젝트 세카이 컬러풀 스테이지! Feat. 하츠네 미쿠,41.4,5.61
앙상블 스타즈!!,41.1,5.58
카드캡터 체리!: 추억의 열쇠,40.5,5.49
에버소울,40.5,5.49
작혼: 리치마작,33.2,4.5
일곱개의 대죄!: 그랜드 크로스,32.5,4.41
유희왕 마스터 듀얼,30.7,4.16
러브앤 딥스페이스,29.6,4.02
스타시드 아스니아 트리거,27.8,3.78
창세기전 모바일,26.5,3.6
벽람항로,24.8,3.36
뉴럴 클라우드,21.7,2.95
붕괴 3rd,21.6,2.92
에코칼립스: 진홍의 서약,21.5,2.95
프린세스 커넥트! Re:Dive,15.9,2.16
카운터사이드,15,2.04
가디언 테일즈,13.5,1.84
소녀전선,13.3,1.81
페르소나5 더 팬텀 X,12.9,1.75
무기미도,12.4,1.69
아우터플레인,11.3,1.54
헤븐 번즈 레드,10.9,1.48
어나더에덴 시공을 넘는 고양이,10.3,1.4
리니지M,3346,453
라스트 워: 서바이벌,2920,396
WOS: 화이트아웃 서바이벌,1822,247
오딘: 발할라 라이징,1265,171
로얄 매치,1186,160
리니지2M,1039,141
AFK: 새로운 여정,1021,138
브롤스타즈,836,113
운빨존많겜,815,109
Roblox,699,94
로드나인,698,94
리니지W,582,78
EA FC,539,73
아키에이지 워,467,63
버섯커 키우기,465,63
뮤 모나크2,382,51
